virus tax id	virus name 	virusqueryname	virus lineage	host tax id	host name	hostlineage	source
2483665	Ailee	Gordonia phage Ailee	"['Gordonia phage Ailee', 'unclassified Vividuovirus', 'Vividuovirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	2055	Gordonia terrae 3612	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1041808	Airmid	Mycobacterium phage Airmid	"['Mycobacterium phage Airmid', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2590940	Ajay	Mycobacterium phage Ajay	"['Mycobacterium phage Ajay', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1089110	Akoma	Mycobacterium phage Akoma	"['Mycobacterium phage Akoma', 'Pipefishvirus', 'Bclasvirinae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2565510	Akoni	Microbacterium phage Akoni	"['Microbacterium phage Akoni', 'unclassified Podoviridae', 'Podoviridae', 'Caudovirales', 'Viruses']"	104336	Microbacterium foliorum NRRL B-24224 SEA	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1763	AlainaMarie	Mycobacterium	"['Mycobacterium', 'Mycobacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	2055	Gordonia terrae 3612	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1763	Alakazam	Mycobacterium	"['Mycobacterium', 'Mycobacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	104336	Microbacterium foliorum NRRL B-24224 SEA	"['Arthrobacter globiformis', 'Arthrobacter', 'Micrococcaceae', 'Micrococcales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1647307	AlanGrant	Mycobacterium phage AlanGrant	"['Mycobacterium phage AlanGrant', 'Mycobacterium virus Vincenzo', 'Coopervirus', 'Bclasvirinae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Corynebacterium xerosis', 'Corynebacterium', 'Corynebacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2015826	Alatin	Rhodococcus phage Alatin	"['Rhodococcus phage Alatin', 'unclassified Rerduovirus', 'Rerduovirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1833	Rhodococcus erythropolis RIA 643	"['Corynebacterium xerosis', 'Corynebacterium', 'Corynebacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1913041	Albee	Mycobacterium phage Albee	"['Mycobacterium phage Albee', 'unclassified Fromanvirus', 'Fromanvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Corynebacterium xerosis', 'Corynebacterium', 'Corynebacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2488951	Aledel	Arthrobacter phage Aledel	"['Arthrobacter phage Aledel', 'unclassified Korravirus', 'Korravirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1771959	Arthrobacter sp.  ATCC 21022	"['Corynebacterium xerosis', 'Corynebacterium', 'Corynebacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2590877	Alex44	Microbacterium phage Alex44	"['Microbacterium phage Alex44', 'unclassified Podoviridae', 'Podoviridae', 'Caudovirales', 'Viruses']"	104336	Microbacterium foliorum NRRL B-24224 SEA	"['Corynebacterium xerosis', 'Corynebacterium', 'Corynebacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2094142	AlexAdler	Microbacterium phage AlexAdler	"['Microbacterium phage AlexAdler', 'unclassified Ilzatvirus', 'Ilzatvirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	104336	Microbacterium foliorum NRRL B-24224 SEA	"['Corynebacterium xerosis', 'Corynebacterium', 'Corynebacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2094143	Alexphander	Mycobacterium phage Alexphander	"['Mycobacterium phage Alexphander', 'unclassified Cheoctovirus', 'Cheoctovirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Corynebacterium xerosis', 'Corynebacterium', 'Corynebacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2301561	Ali17	Gordonia phage Ali17	"['Gordonia phage Ali17', 'unclassified Siphoviridae', 'Siphoviridae', 'Caudovirales', 'Viruses']"	2055	Gordonia terrae CAG3	"['Corynebacterium xerosis', 'Corynebacterium', 'Corynebacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1034128	Alice	Mycobacterium phage Alice	"['Mycobacterium phage Alice', 'Mycobacterium virus Alice', 'Bixzunavirus', 'Myoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Corynebacterium xerosis', 'Corynebacterium', 'Corynebacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
2163590	AlishaPH	Mycobacterium phage AlishaPH	"['Mycobacterium phage AlishaPH', 'unclassified Timquatrovirus', 'Timquatrovirus', 'Siphoviridae', 'Caudovirales', 'Viruses']"	1772	Mycobacterium smegmatis mc²155	"['Propionibacterium freudenreichii', 'Propionibacterium', 'Propionibacteriaceae', 'Propionibacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
1763	Aliter	Mycobacterium	"['Mycobacterium', 'Mycobacteriaceae', 'Corynebacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	1772	Mycobacterium smegmatis mc²155	"['Propionibacterium freudenreichii', 'Propionibacterium', 'Propionibacteriaceae', 'Propionibacteriales', 'Actinobacteria', 'Actinobacteria', 'Terrabacteria group', 'Bacteria', 'cellular organisms']"	PhageDB
