	virus tax id	virus name	host tax id	Kingdom	Phylum	Class	Order	Family	Genus	Species	7	8
83	691318	Acinetobacter phage phiAB1	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
84	1698439	Acinetobacter phage phiAB6	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
85	1229760	Acinetobacter phage phiAC-1	469.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae				
86	1229760	Acinetobacter phage phiAC-1	487316.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter			
87	1406780	Acinetobacter phage Presley	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
88	1916127	Acinetobacter phage SH-Ab 15519	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
89	1481186	Acinetobacter phage vB_AbaM_Acibel004	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
90	1837876	Acinetobacter phage vB_AbaM_ME3	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
91	1605379	Acinetobacter phage vB_AbaM_phiAbaA1	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
92	1481187	Acinetobacter phage vB_AbaP_Acibel007	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
93	1932886	Acinetobacter phage vB_AbaP_AS11	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
94	1932885	Acinetobacter phage vB_AbaP_AS12	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
95	2016049	Acinetobacter phage vB_AbaP_B1	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
96	2016050	Acinetobacter phage vB_AbaP_B3	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
97	2016050	Acinetobacter phage vB_AbaP_B3	1217636.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
98	2016051	Acinetobacter phage vB_AbaP_B5	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
99	2016051	Acinetobacter phage vB_AbaP_B5	1217645.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
100	2126803	Acinetobacter phage vB_AbaP_D2	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
101	1701807	Acinetobacter phage vB_AbaP_PD-6A3	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
102	1701808	Acinetobacter phage vB_AbaP_PD-AB9	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
103	1970374	Acinetobacter phage vB_AbaS_Loki	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
104	1970374	Acinetobacter phage vB_AbaS_Loki	400667.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
105	1852629	Acinetobacter phage vB_AbaS_TRS1	927193.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
106	2016052	Acinetobacter phage vB_ApiP_P1	469.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae				
107	2016052	Acinetobacter phage vB_ApiP_P1	48296.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
108	2016053	Acinetobacter phage vB_ApiP_P2	469.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae				
109	2016053	Acinetobacter phage vB_ApiP_P2	48296.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
110	1983409	Acinetobacter phage WCHABP1	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
111	1965454	Acinetobacter phage WCHABP12	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
112	1983525	Acinetobacter phage WCHABP5	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
113	1505225	Acinetobacter phage YMC-13-01-C62	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
114	1628721	Acinetobacter phage YMC11/11/R3177	472.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter			
115	1628720	Acinetobacter phage YMC11/12/R2315	472.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter			
116	1560342	Acinetobacter phage YMC13/03/R2096	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
117	1049283	Acinetobacter phage ZZ1	470.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter	 acinetobacter calcoaceticus/baumannii complex		
118	279006	Acinetobacter virus 133	40214.0	bacteria	 proteobacteria	 gammaproteobacteria	 pseudomonadales	 moraxellaceae	 acinetobacter			
129	338473	Actinomyces virus Av1	1655.0	bacteria	 actinobacteria	 actinobacteria	 actinomycetales	 actinomycetaceae	 actinomyces			
130	279303	Actinoplanes phage phiAsp2	442459.0	bacteria	 actinobacteria	 actinobacteria	 micromonosporales	 micromonosporaceae	 actinoplanes			
175	1198014	Aeromonas phage Aes012	647.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
176	1198013	Aeromonas phage Aes508	645.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
177	2026082	Aeromonas phage AS-gz	29491.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas	 aeromonas salmonicida		
178	1204516	Aeromonas phage CC2	644.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
179	1505227	Aeromonas phage pAh6-C	644.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
180	879628	Aeromonas phage phiAS4	645.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
181	879630	Aeromonas phage phiAS5	645.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
182	1141132	Aeromonas phage phiAS7	29491.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas	 aeromonas salmonicida		
183	754050	Aeromonas phage pIS4-A	728059.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
184	926067	Aeromonas phage PX29	645.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
185	1127514	Aeromonas phage vB_AsaM-56	645.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
186	233894	Aeromonas virus 25	645.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
187	321023	Aeromonas virus 31	645.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
188	115987	Aeromonas virus 44RR2	645.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
189	260149	Aeromonas virus 65	645.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
190	227470	Aeromonas virus Aeh1	644.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
191	393598	Aeromonas virus phiO18P	651.0	bacteria	 proteobacteria	 gammaproteobacteria	 aeromonadales	 aeromonadaceae	 aeromonas			
290	683735	Aggregatibacter phage S1249	668336.0	bacteria	 proteobacteria	 gammaproteobacteria	 pasteurellales	 pasteurellaceae	 aggregatibacter			
291	1161931	Agrobacterium phage 7-7-1	861208.0	bacteria	 proteobacteria	 alphaproteobacteria	 rhizobiales	 rhizobiaceae	 agrobacterium			
292	2024264	Agrobacterium phage Atu_ph07	358.0	bacteria	 proteobacteria	 alphaproteobacteria	 rhizobiales	 rhizobiaceae	 agrobacterium	 agrobacterium tumefaciens complex		
380	279383	Alphaproteobacteria virus phiJl001	278678.0	bacteria	 proteobacteria	 alphaproteobacteria						
407	1300004	Alteromonas phage vB_AmaP_AD45-P1	1004787.0	bacteria	 proteobacteria	 gammaproteobacteria	 alteromonadales	 alteromonadaceae	 alteromonas			
408	1300005	Alteromonas phage vB_AmaP_AD45-P2	1004787.0	bacteria	 proteobacteria	 gammaproteobacteria	 alteromonadales	 alteromonadaceae	 alteromonas			
409	1300006	Alteromonas phage vB_AmaP_AD45-P3	1004787.0	bacteria	 proteobacteria	 gammaproteobacteria	 alteromonadales	 alteromonadaceae	 alteromonas			
410	1300007	Alteromonas phage vB_AmaP_AD45-P4	1004787.0	bacteria	 proteobacteria	 gammaproteobacteria	 alteromonadales	 alteromonadaceae	 alteromonas			
436	1357732	Anabaena phage A-4L	1163.0	bacteria	 cyanobacteria	 nostocales	 nostocaceae					
437	1357732	Anabaena phage A-4L	264691.0	bacteria	 cyanobacteria	 nostocales	 nostocaceae	 trichormus				
550	1927013	Aquamicrobium phage P14	658602.0	bacteria	 proteobacteria	 alphaproteobacteria	 rhizobiales	 phyllobacteriaceae	 aquamicrobium			
573	416419	Archaeal BJ1 virus	56688.0	archaea	 euryarchaeota	 halobacteria	 haloferacales	 halorubraceae				
604	2015853	Arthrobacter phage Abidatro	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
605	2027883	Arthrobacter phage Adat	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
606	1772291	Arthrobacter phage Amigo	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
607	1796994	Arthrobacter phage BarretLemon	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
608	2015815	Arthrobacter phage Beans	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
609	1772293	Arthrobacter phage Bennie	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
610	1701798	Arthrobacter phage Brent	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
611	1772294	Arthrobacter phage CaptnMurica	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
612	1772295	Arthrobacter phage Circum	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
613	2015834	Arthrobacter phage Colucci	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
614	1698361	Arthrobacter phage Decurro	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
615	1772296	Arthrobacter phage DrRobert	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
616	1772326	Arthrobacter phage Galaxy	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
617	1772297	Arthrobacter phage Glenn	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
618	1772298	Arthrobacter phage Gordon	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
619	1772300	Arthrobacter phage HunterDalle	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
620	1772302	Arthrobacter phage Jasmine	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
621	1772327	Arthrobacter phage Jawnski	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
622	1772303	Arthrobacter phage Joann	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
623	1796995	Arthrobacter phage KellEzio	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
624	1796996	Arthrobacter phage Kitkat	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
625	1772304	Arthrobacter phage Korra	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
626	1772305	Arthrobacter phage Laroye	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
627	1772307	Arthrobacter phage Martha	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
628	2015839	Arthrobacter phage Molivia	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
629	1796997	Arthrobacter phage Mudcat	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
630	2024282	Arthrobacter phage Piccoletto	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
631	1772310	Arthrobacter phage Preamble	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
632	1772328	Arthrobacter phage PrincessTrina	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
633	1772311	Arthrobacter phage Pumancara	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
634	2024283	Arthrobacter phage Shade	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
635	1772315	Arthrobacter phage Sonny	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
636	1772319	Arthrobacter phage Tank	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
637	1414742	Arthrobacter phage vB_ArS-ArV2	1667.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
638	1566993	Arthrobacter phage vB_ArtM-ArV1	1667.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
639	1772322	Arthrobacter phage Wayne	1771959.0	bacteria	 actinobacteria	 actinobacteria	 micrococcales	 micrococcaceae	 arthrobacter			
703	1503929	Aurantimonas phage AmM-1	1503040.0	bacteria	 proteobacteria	 alphaproteobacteria	 rhizobiales	 aurantimonadaceae	 aurantimonas			
825	467481	Azospirillum phage Cd	191.0	bacteria	 proteobacteria	 alphaproteobacteria	 rhodospirillales	 rhodospirillaceae				
826	467481	Azospirillum phage Cd	192.0	bacteria	 proteobacteria	 alphaproteobacteria	 rhodospirillales	 rhodospirillaceae	 azospirillum			
837	458639	Bacillus phage 0305phi8-36	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
838	1815509	Bacillus phage AR9	1423.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus subtilis group		
839	1815509	Bacillus phage AR9	224308.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus subtilis group	 bacillus subtilis	
840	1874000	Bacillus phage Aurora	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
841	1698451	Bacillus phage AvesoBmore	29339.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
842	1141133	Bacillus phage B4	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
843	1126949	Bacillus phage B5S	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
844	1567487	Bacillus phage BalMu-1	1218173.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus			
845	236750	Bacillus phage Bam35c	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
846	1296654	Bacillus phage Basilisk	526970.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
847	57477	Bacillus phage Bastille	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
848	1136534	Bacillus phage BCD7	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
849	1118064	Bacillus phage BceA1	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
850	1118064	Bacillus phage BceA1	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
851	294382	Bacillus phage BCJA1c	79879.0	bacteria	 firmicutes	 bacilli	 bacillales	 sporolactobacillaceae				
852	584892	Bacillus phage Bcp1	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
853	1126950	Bacillus phage BCP78	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
854	1129192	Bacillus phage BCP8-2	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
855	1126951	Bacillus phage BCU4	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
856	1852564	Bacillus phage Belinda	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
857	1406781	Bacillus phage BigBertha	29339.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
858	1527469	Bacillus phage Bobb	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
859	1445810	Bacillus phage Bp8p-C	1408.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus			
860	1445811	Bacillus phage Bp8p-T	1408.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus			
861	1277886	Bacillus phage BPS10C	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
862	1136731	Bacillus phage BPS13	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
863	1194641	Bacillus phage BtCS33	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
864	1486657	Bacillus phage CAM003	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
865	1406783	Bacillus phage CampHawk	1423.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus subtilis group		
866	347966	Bacillus phage Cherry	1392.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
867	1874001	Bacillus phage Claudi	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
868	1391188	Bacillus phage CP-51	1396.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
869	1792245	Bacillus phage Deep Blue	1053197.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
870	1805948	Bacillus phage DIGNKC	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
871	1805948	Bacillus phage DIGNKC	29339.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
872	1873999	Bacillus phage DirtyBetty	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
873	1776293	Bacillus phage Eldridge	1404.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus			
874	1486658	Bacillus phage Evoli	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
875	1690431	Bacillus phage Eyuki	1428.0	bacteria	 firmicutes	 bacilli	 bacillales	 bacillaceae	 bacillus	 bacillus cereus group		
