#Organism Group,Strain,Serovar,Isolate,Create Date,Location,Isolation Source,Isolation type,Host,SNP cluster,Min-same,Min-diff,BioSample,Assembly,AMR genotypes,K-mer group
"E.coli and Shigella","AZ-TG60771",,"PDT000003805.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442858",,"blaEC,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60281",,"PDT000003806.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442859",,"blaCMY-2,blaEC,blaTEM-1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56070",,"PDT000003807.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442860",,"aph(3'')-Ib,aph(6)-Id,blaCMY-2,blaEC,blaTEM-1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60301",,"PDT000003808.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442861",,"blaCMY-2,blaEC,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60594",,"PDT000003810.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442863",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-2,blaEC,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60570",,"PDT000003811.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442864",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-2,blaEC,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60306",,"PDT000003812.2","2014-02-27T19:03:12Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442865",,"ant(2'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-2,blaEC,blaTEM-1,cmlA5,dfrA1,qacEdelta1,sul1,sul2,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60796",,"PDT000003839.2","2014-03-02T19:03:14Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442835",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60509",,"PDT000003840.2","2014-03-02T19:03:14Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442836",,"aadA2,blaEC,dfrA12,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60634",,"PDT000003842.2","2014-03-02T19:03:14Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442841",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,blaTEM-1,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60422",,"PDT000003864.2","2014-03-02T20:03:08Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442838",,"blaEC,blaTEM-1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56167",,"PDT000003865.2","2014-03-02T20:03:08Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442839",,"blaEC,blaTEM-1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56421",,"PDT000003866.2","2014-03-02T20:03:08Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442840",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,blaTEM-1,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60505",,"PDT000003867.2","2014-03-02T20:03:08Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442843",,"ampC,aph(3'')-Ib,blaTEM-1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60784",,"PDT000003868.2","2014-03-02T20:03:08Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442844",,"blaEC,blaTEM-1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56454",,"PDT000003869.3","2014-03-02T20:03:08Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442845",,"aadA2,aph(3'')-Ib,aph(6)-Id,blaCARB-2,blaEC,blaTEM-1,dfrA16,ere(A),qacE,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56085",,"PDT000003871.2","2014-03-02T20:03:08Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442848",,"aadA2,bla,blaCARB-2,blaEC,qacEdelta1,sul1,tet(B),tet(M)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56087",,"PDT000003872.2","2014-03-02T20:03:08Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442849",,"aph(3''),aph(3'')-Ib,aph(6)-Id,blaEC,blaTEM-1,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60925",,"PDT000003947.2","2014-03-08T16:03:17Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442810",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60933",,"PDT000003948.2","2014-03-08T16:03:17Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442811",,"blaEC,blaTEM-1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60949",,"PDT000003950.2","2014-03-08T16:03:17Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442813",,"blaCMY-2,blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60957",,"PDT000003951.2","2014-03-08T16:03:17Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442814",,"blaEC,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60804",,"PDT000003954.2","2014-03-08T16:03:17Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442817",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60783",,"PDT000003955.2","2014-03-08T16:03:17Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442820",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56132",,"PDT000003959.2","2014-03-08T16:03:17Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442825",,"aac(3)-IId,aadA1,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,blaHER-3,blaTEM-1,fosA,sul2,tet(B),tet(M)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60412",,"PDT000004016.2","2014-03-10T21:03:23Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442818",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60410",,"PDT000004017.2","2014-03-10T21:03:23Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442819",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG56072",,"PDT000004018.2","2014-03-10T21:03:23Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442823",,"blaEC,blaTEM,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73119",,"PDT000004345.2","2014-03-19T00:03:15Z","USA:ME","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628534",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73123",,"PDT000004346.2","2014-03-19T00:03:15Z","USA:PA","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628535",,"aac(3),aadA1,blaEC,qacEdelta1,sul1,sul2,tet(C)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73135",,"PDT000004348.2","2014-03-19T00:03:16Z","USA:TN","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628538",,"blaEC,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73143",,"PDT000004349.2","2014-03-19T00:03:16Z","USA:FL","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628540",,"aac(3),aadA1,blaEC,qacEdelta1,sul1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73151",,"PDT000004351.2","2014-03-19T00:03:16Z","USA:LA","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628542",,"aac(3),aadA1,blaEC,qacEdelta1,sul1,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73159",,"PDT000004353.2","2014-03-19T00:03:16Z","USA:AL","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628544",,"blaEC,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73163",,"PDT000004354.2","2014-03-19T00:03:16Z","USA:AL","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628545",,"aac(3),aadA1,blaEC,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73175",,"PDT000004355.2","2014-03-19T00:03:16Z","USA:AR","Whole Chicken Breast","environmental/other",,,,,"SAMN02628548",,"aac(3),aadA1,aph(3'')-Ib,blaEC,qacEdelta1,sul1,sul2","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73131",,"PDT000004386.2","2014-03-19T07:03:10Z","USA:WA","Whole Chicken Breast","environmental/other",,,,,"SAMN02628537",,"aadA2,ant(2'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,qacEdelta1,sul1,sul2","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73171",,"PDT000004387.2","2014-03-19T07:03:10Z","USA:KY","Thin Sliced Chicken Breast","environmental/other",,,,,"SAMN02628547",,"aac(3),aadA1,blaEC,qacEdelta1,sul1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73139",,"PDT000004397.3","2014-03-19T09:03:13Z","USA:TN","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628539",,"aac(3),aadA1,blaEC,fosA,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73167",,"PDT000004398.2","2014-03-19T09:03:13Z","USA:KY","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628546",,"aac(3),aadA1,blaEC,qacEdelta1,sul1,sul2","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73179",,"PDT000004399.2","2014-03-19T09:03:14Z","USA:TX","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628549",,"aac(3),aadA1,blaEC,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","IMT2125",,"PDT000010481.2","2012-12-12T16:46:00Z",,,"environmental/other",,,,,"SAMEA2272029","GCA_000308975.2","blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60317",,"PDT000024318.2","2014-03-26T18:03:38Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442866",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaCMY-2,blaEC,blaTEM-1,dfrA5,sul2,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG60572",,"PDT000024319.2","2014-03-26T18:03:38Z","USA:AZ, Flagstaff","packaged whole turkey","environmental/other",,,,,"SAMN02442867",,"aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,catA1,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73183",,"PDT000024324.3","2014-03-26T18:03:38Z","USA:VA","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628550",,"blaEC,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73187",,"PDT000024325.2","2014-03-26T18:03:38Z","USA:AZ","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628551",,"aac(3)-IId,blaEC,blaTEM-1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73195",,"PDT000024327.2","2014-03-26T18:03:38Z","USA:NJ","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628553",,"aadA2,ant(2'')-Ia,aph(3'')-Ib,aph(3')-Ia,aph(6)-Id,blaEC,qacEdelta1,sul1,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73199",,"PDT000024328.2","2014-03-26T18:03:38Z","USA:IA","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628554",,"aac(3),aadA1,blaEC,qacEdelta1,sul1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73203",,"PDT000024329.2","2014-03-26T18:03:38Z","USA:ID","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628555",,"aac(3)-IV,ampC,aph(3'')-Ib,aph(4)-Ia,aph(6)-Id,blaEC,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73207",,"PDT000024330.2","2014-03-26T18:03:38Z","USA:CA","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628556",,"aph(3'')-Ib,aph(6)-Id,blaEC,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73211",,"PDT000024331.2","2014-03-26T18:03:38Z","USA:MD","Whole Chicken Breast","environmental/other",,,,,"SAMN02628557",,"aac(3),aadA1,blaEC,dfrA1,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73255",,"PDT000024483.2","2014-03-29T21:03:12Z","USA:LA","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628568",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73271",,"PDT000024485.2","2014-03-29T21:03:12Z","USA:KS","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628572",,"aac(3),aadA1,aph(3'')-Ib,aph(6)-Id,blaEC,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73219",,"PDT000024551.2","2014-03-29T22:03:16Z","USA:AL","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628559",,"aac(3),aadA1,blaEC,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73223",,"PDT000024552.2","2014-03-29T22:03:16Z","USA:ME","Whole Chicken Breast","environmental/other",,,,,"SAMN02628560",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73227",,"PDT000024553.2","2014-03-29T22:03:16Z","USA:VA","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628561",,"aac(3),aac(3)-IId,aadA1,blaEC,blaTEM-1,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73231",,"PDT000024554.2","2014-03-29T22:03:16Z","USA:AL","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628562",,"aac(3),aadA1,blaEC,qacEdelta1,sul1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73235",,"PDT000024555.2","2014-03-29T22:03:16Z","USA:AL","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628563",,"aac(3),aadA1,ampC,blaEC,qacEdelta1,sul1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73239",,"PDT000024556.2","2014-03-29T22:03:16Z","USA:PA","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628564",,"aac(3)-IV,aph(4)-Ia,blaEC,sul2,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73247",,"PDT000024558.3","2014-03-29T22:03:16Z","USA:MI","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628566",,"aac(3),aadA1,blaEC,fosA,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73267",,"PDT000024561.2","2014-03-29T22:03:16Z","USA:KS","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628571",,"aac(3),aadA1,blaEC,qacEdelta1,sul1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73279",,"PDT000025150.2","2014-04-01T23:03:23Z","USA:LA","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628574",,"blaEC,blaTEM-1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73299",,"PDT000025151.2","2014-04-01T23:03:23Z","USA:OH","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628579",,"aac(3),aadA1,blaEC,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73323",,"PDT000025152.2","2014-04-01T23:03:23Z","USA:CA","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628585",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73283",,"PDT000025243.2","2014-04-02T00:03:17Z","USA:LA","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628575",,"aac(3),aadA1,blaEC,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73291",,"PDT000025245.2","2014-04-02T00:03:17Z","USA:KY","Whole Chicken Breast","environmental/other",,,,,"SAMN02628577",,"blaEC,sul2","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73303",,"PDT000025247.2","2014-04-02T00:03:17Z","USA:OH","Thin Sliced Chicken Breast","environmental/other",,,,,"SAMN02628580",,"blaEC,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73311",,"PDT000025249.2","2014-04-02T00:03:17Z","USA:WA","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628582",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73315",,"PDT000025250.2","2014-04-02T00:03:17Z","USA:TX","Whole Chicken Breast","environmental/other",,,,,"SAMN02628583",,"aac(3),aadA1,blaCMY-2,blaEC,qacEdelta1,sul1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73319",,"PDT000025251.2","2014-04-02T00:03:17Z","USA:AZ","Whole Chicken Breast","environmental/other",,,,,"SAMN02628584",,"aac(3),aadA1,blaEC,dfrA1,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73327",,"PDT000025252.2","2014-04-02T00:03:17Z","USA:MN","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628586",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73331",,"PDT000025253.2","2014-04-02T00:03:18Z","USA:MD","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628587",,"aac(3),aadA1,ant(3''),blaCMY-2,blaEC,dfrA1,qacEdelta1,sat1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73343",,"PDT000025492.2","2014-04-12T16:33:33Z","USA:IA","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628590",,"aac(3)-IId,blaEC,blaTEM-1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73355",,"PDT000025494.2","2014-04-12T16:33:33Z","USA:ID","Whole Chicken Breast","environmental/other",,,,,"SAMN02628593",,"blaCMY-2,blaEC,tet(B)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73359",,"PDT000025495.2","2014-04-12T16:33:33Z","USA:KY","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628594",,"aac(3),aadA1,blaEC,qacEdelta1,sul1,tet(C)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73363",,"PDT000025496.2","2014-04-12T16:33:33Z","USA:KY","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628595",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73371",,"PDT000025498.2","2014-04-12T16:33:33Z","USA:ID","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628597",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73375",,"PDT000025499.2","2014-04-12T16:33:33Z","USA:AR","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628598",,"aac(3),aadA1,blaEC,qacEdelta1,sul1,sul2,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73379",,"PDT000025500.2","2014-04-12T16:33:33Z","USA:AR","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628599",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73383",,"PDT000025501.2","2014-04-12T16:33:33Z","USA:AR","Thin Sliced Chicken Breast","environmental/other",,,,,"SAMN02628600",,"blaCMY-2,blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73387",,"PDT000025502.2","2014-04-12T16:33:33Z","USA:AR","Whole Chicken Breast","environmental/other",,,,,"SAMN02628601",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73391",,"PDT000025503.2","2014-04-12T16:33:33Z","USA:MD","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628602",,"blaEC,blaTEM-1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73395",,"PDT000025504.2","2014-04-12T16:33:33Z","USA:MD","Thin Sliced Chicken Breast","environmental/other",,,,,"SAMN02628603",,"aac(3),aadA1,blaEC,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73399",,"PDT000025505.2","2014-04-12T16:33:33Z","USA:MN","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628604",,"aac(3),aadA1,blaEC,qacEdelta1,sul1","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73407",,"PDT000025507.2","2014-04-12T16:33:33Z","USA:CA","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628606",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73419",,"PDT000026888.2","2014-04-25T22:03:35Z","USA:AZ","Chicken Breast Tenderloins","environmental/other",,,,,"SAMN02628609",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73423",,"PDT000026889.2","2014-04-25T22:03:35Z","USA:AZ","Whole Chicken Breast","environmental/other",,,,,"SAMN02628610",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73431",,"PDT000026890.2","2014-04-25T22:03:35Z","USA:MI","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628612",,"blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73443",,"PDT000026891.2","2014-04-25T22:03:35Z","USA:WA","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628615",,"aph(3'')-Ib,aph(6)-Id,blaEC","PDG000000004.1583"
"E.coli and Shigella","AZ-TG73451",,"PDT000026892.2","2014-04-25T22:03:35Z","USA:CA","Skinless Boneless Chicken Breast","environmental/other",,,,,"SAMN02628617",,"aac(3),aadA1,blaEC,qacEdelta1,sul1,tet(A)","PDG000000004.1583"
